cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,polintr,psppsgva,actrolga,psppipla,cptppola,polcmpl,trstprl,trstlgl,trstplt,trstprt,lrscale,stfeco,stfgov,stfdem,stfedu,gincdif,prtyban,prtvtdru,ctzcntr,atchctr,edulvla,eduyrs,mainact,emplrel,iorgact,uemp5yr,hinctnta,hincfel
RU,ESS1-9e01,1.0,10.12.2020,368262,ESS8e02_2,8,2.2,1,1.4283961057663,0.65320885181427,4.985758313,3.25674146305818,3,3,2,2,2,,2,2,2,2,5,3,3,3,3,1,,66,1,7,5,16,66,1,3,6,6,2
RU,ESS1-9e01,1.0,10.12.2020,368263,ESS8e02_2,8,2.2,2,0.952264070510864,0.472180098295212,4.985758313,2.35417585030851,3,2,2,3,3,,5,5,5,5,5,5,5,7,6,2,,1,1,9,5,15,66,1,1,6,6,1
RU,ESS1-9e01,1.0,10.12.2020,368264,ESS8e02_2,8,2.2,3,0.952264070510864,2.55817556381226,4.985758313,12.7544450833904,1,2,1,1,3,,0,0,0,0,5,1,1,1,1,2,,1,1,9,3,13,66,1,0,2,77,3
RU,ESS1-9e01,1.0,10.12.2020,368265,ESS8e02_2,8,2.2,4,0.952264070510864,0.383905321359634,4.985758313,1.91405914737373,2,3,1,1,1,,0,0,0,0,5,1,1,1,0,1,,66,1,8,5,15,66,1,0,2,77,1
RU,ESS1-9e01,1.0,10.12.2020,368266,ESS8e02_2,8,2.2,5,0.952264070510864,0.283493041992188,4.985758313,1.41342779079021,2,3,1,1,1,,6,1,3,3,77,2,7,7,8,3,,11,1,10,5,20,66,1,7,6,77,2
RU,ESS1-9e01,1.0,10.12.2020,368267,ESS8e02_2,8,2.2,6,0.952264070510864,0.383905321359634,4.985758313,1.91405914737373,2,2,7,1,1,,2,1,2,2,5,3,1,2,1,3,,1,1,8,5,15,66,1,0,2,6,3
RU,ESS1-9e01,1.0,10.12.2020,368268,ESS8e02_2,8,2.2,7,0.476132035255432,0.191952660679817,4.985758313,0.957029573686867,3,7,1,1,2,,3,3,3,3,77,5,3,5,5,3,,1,1,10,5,13,66,1,5,2,77,1
RU,ESS1-9e01,1.0,10.12.2020,368269,ESS8e02_2,8,2.2,14,0.476132035255432,0.248157411813736,4.985758313,1.2372528788829,2,4,3,2,3,,0,4,0,0,5,3,6,3,0,4,,66,1,9,5,18,1,1,6,1,10,1
RU,ESS1-9e01,1.0,10.12.2020,368270,ESS8e02_2,8,2.2,15,0.476132035255432,0.248157411813736,4.985758313,1.2372528788829,1,2,1,1,1,,1,2,0,1,2,2,1,0,3,3,,66,1,0,5,15,66,1,4,2,7,4
RU,ESS1-9e01,1.0,10.12.2020,368271,ESS8e02_2,8,2.2,16,1.4283961057663,0.708270013332367,4.985758313,3.53126310682047,2,2,7,5,1,,4,6,5,5,5,2,5,3,1,1,,2,1,8,5,16,1,1,7,6,6,2
